"","Titulo","Tipo","Estado","Cantidad_episodio","Visitas"
"161","New Game!!","TV","Finalizado","12","4311"
"162","New Game!","TV","Finalizado","13","6503"
"163","Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?","TV","Finalizado","11","18616"
"164","Monster","TV","Finalizado","74","177030"
"165","Masamune-kun no Revenge","TV","Finalizado","13","180932"
"166","Kimi ni Todoke 2nd Season","TV","Finalizado","13","13391"
"167","Kimi ni Todoke","TV","Finalizado","25","45547"
"168","Gekidol","TV","Finalizado","8","9465"
"169","Shoukoku no Altair","TV","Finalizado","24","8678"
"170","Grancrest Senki","TV","Finalizado","24","22374"
"171","Bungou Stray Dogs Wan!","TV","Finalizado","12","37654"
"172","Wave!! Surfing Yappe!!","TV","Finalizado","12","35831"
"173","Qualidea Code","TV","Finalizado","12","20210"
"174","Ore no Kanojo to Osananajimi ga Shuraba Sugiru","TV","Finalizado","13","48103"
"175","Yatogame-chan Kansatsu Nikki 3 Satsume","TV","Finalizado","12","21086"
"176","Mahou Shoujo Site","TV","Finalizado","12","18894"
"177","Killing Bites","TV","Finalizado","12","24324"
"178","WIXOSS Diva(A)Live","TV","Finalizado","12","18153"
"179","Idolls!","TV","Finalizado","10","7728"
"180","Kishuku Gakkou no Juliet","TV","Finalizado","12","33367"
"181","I<U+2605>CHU","TV","Finalizado","12","19156"
"182","Ushio to Tora","TV","Finalizado","39","39669"
"183","Aoki Hagane no Arpeggio: Ars Nova Cadenza","Pelicula","Finalizado","1","8131"
"184","Aoki Hagane no Arpeggio: Ars Nova DC","Pelicula","Finalizado","1","8926"
"185","Aoki Hagane no Arpeggio: Ars Nova","TV","Finalizado","12","10924"
"186","Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru","TV","Finalizado","12","11959"
"187","Ano Natsu de Matteru","TV","Finalizado","13","12397"
"188","Seiken no Blacksmith","TV","Finalizado","12","26376"
"189","Aggressive Retsuko 3","TV","Finalizado","10","4051"
"190","Aggressive Retsuko: We Wish You a Metal Christmas","TV","Finalizado","1","1975"
"191","Aggressive Retsuko 2","TV","Finalizado","10","3081"
"192","Aggressive Retsuko","TV","Finalizado","10","4000"
"193","Otona no Bouguya-san","TV","Finalizado","12","37988"
"194","Otona no Bouguya-san 2","TV","Finalizado","12","67683"
"195","Gakusen Toshi Asterisk 2nd Season","TV","Finalizado","12","37763"
"196","Gakusen Toshi Asterisk","TV","Finalizado","12","51214"
"197","Azur Lane: Bisoku Zenshin!","TV","Finalizado","12","33598"
"198","Shin Chuuka Ichiban! 2nd Season","TV","Finalizado","12","14046"
"199","Uma Musume: Pretty Derby Season 2","TV","Finalizado","13","34688"
"200","Back Arrow","TV","Finalizado","24","58312"
"201","VladLove","TV","Finalizado","12","78240"
"202","Maken-Ki! Two Specials","TV","Finalizado","5","26698"
"203","Maken-Ki! Specials","TV","Finalizado","6","23305"
"204","Maken-Ki! OVA","TV","Finalizado","1","11840"
"205","K-On! Movie","Pelicula","Finalizado","1","5329"
"206","K-On!!: Keikaku!","OVA","Finalizado","1","7555"
"207","K-On!: Live House!","OVA","Finalizado","1","5829"
"208","Kaichou wa Maid-sama!: Omake dayo!","OVA","Finalizado","1","9779"
"209","Hajimete no Gal: Hajimete no Bunkasai","OVA","Finalizado","1","30367"
"210","Tengen Toppa Gurren Lagann","TV","Finalizado","28","21552"
"211","Kaichou wa Maid-sama!","TV","Finalizado","26","49484"
"212","Tenkuu Shinpan","TV","Finalizado","12","297595"
"213","Kaifuku Jutsushi no Yarinaoshi","TV","Finalizado","12","902065"
"214","Majutsushi Orphen Hagure Tabi: Kimluck-hen","TV","Finalizado","11","53932"
"215","Kemono Jihen","TV","Finalizado","12","143022"
"216","Dr. Stone: Stone Wars","TV","Finalizado","11","569738"
"217","Log Horizon: Entaku Houkai","TV","Finalizado","12","52559"
"218","Wonder Egg Priority","TV","Finalizado","13","214693"
"219","Tensei Shitara Slime Datta Ken 2nd Season Part 1","TV","Finalizado","13","436923"
"220","Non Non Biyori Nonstop","TV","Finalizado","12","21017"
"221","Ex-Arm","TV","Finalizado","12","63433"
"222","Samurai Champloo","TV","Finalizado","26","20342"
"223","Mushoku Tensei: Isekai Ittara Honki Dasu","TV","Finalizado","11","592123"
"224","SK8","TV","Finalizado","12","157196"
"225","World Trigger Season Two","TV","Finalizado","12","66754"
"226","Kai Byoui Ramune","TV","Finalizado","12","47760"
"227","Horimiya","TV","Finalizado","13","314995"
"228","Hataraku Saibou!! 2","TV","Finalizado","8","52067"
"229","Hataraku Saibou Black","TV","Finalizado","13","73322"
"230","Ore dake Haireru Kakushi Dungeon: Kossori Kitaete Sekai Saikyou","TV","Finalizado","12","243733"
"231","Kumo desu ga, Nani ka?","TV","Finalizado","24","181570"
"232","Jaku-Chara Tomozaki-kun","TV","Finalizado","12","109861"
"233","2.43: Seirin Koukou Danshi Voley-bu","TV","Finalizado","12","36646"
"234","Go-toubun no Hanayome <U+222C>","TV","Finalizado","12","432234"
"235","Hortensia Saga","TV","Finalizado","12","62168"
"236","Tenchi Souzou Design-bu","TV","Finalizado","13","34058"
"237","Yuru Camp<U+25B3> Season 2","TV","Finalizado","13","18586"
"238","Yakusoku no Neverland 2nd Season","TV","Finalizado","11","657409"
"239","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2","TV","Finalizado","12","239258"
"240","Nanatsu no Taizai: Fundo no Shinpan","TV","Finalizado","24","2023611"
"241","Beastars 2nd Season","TV","Finalizado","12","1223422"
"242","Ura Sekai Picnic","TV","Finalizado","12","62806"
"243","Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari","TV","Finalizado","12","134968"
"244","K-On!!","TV","Finalizado","26","19209"
"245","K-On!","TV","Finalizado","13","18341"
"246","Boku dake ga Inai Machi","TV","Finalizado","12","20426"
"247","Nichijou","TV","Finalizado","26","12485"
"248","Hataraku Maou-sama!","TV","Finalizado","13","50961"
"249","Valkyrie Drive Mermaid","TV","Finalizado","12","16000"
"250","Maken-ki! Two","TV","Finalizado","10","46860"
"251","Maken-Ki!","TV","Finalizado","12","47487"
"252","Hajimete no Gal","TV","Finalizado","10","64523"
"253","Golden Time","TV","Finalizado","24","103053"
"254","Taimadou Gakuen 35 Shiken Shoutai","TV","Finalizado","12","22886"
"255","Seiken Tsukai no World Break","TV","Finalizado","12","25473"
"256","Saijaku Muhai no Bahamut","TV","Finalizado","12","38147"
"257","Seikoku no Dragonar","TV","Finalizado","12","23487"
"258","Seirei Tsukai no Blade Dance","TV","Finalizado","12","16944"
"259","Dokyuu Hentai HxEros OVA","OVA","Finalizado","2","58646"
"260","Darker than Black: Ryuusei no Gemini","TV","Finalizado","12","13681"
"261","Shingeki no Kyojin: The Final Season","TV","Finalizado","16","4115087"
"262","Darker than Black: Kuro no Keiyakusha Gaiden","OVA","Finalizado","4","12468"
"263","Darker than Black: Kuro no Keiyakusha","TV","Finalizado","26","34890"
"264","Masou Gakuen HxH Specials","Especial","Finalizado","6","20743"
"265","Masou Gakuen HxH","TV","Finalizado","12","49227"
"266","Nisekoi OVA","OVA","Finalizado","3","20364"
"267","Inuyashiki","TV","Finalizado","11","21382"
"268","School Days","TV","Finalizado","12","46056"
"269","Re:Creators","TV","Finalizado","22","23774"
"270","Isekai Maou to Shoukan Shoujo no Dorei Majutsu","TV","Finalizado","12","189950"
"271","Strike Witches: 501 Butai Hasshin Shimasu!","TV","Finalizado","0","5118"
"272","Strike Witches: Gekijouban","Pelicula","Finalizado","1","8589"
"273","Strike Witches: Operation Victory Arrow","OVA","Finalizado","3","5557"
"274","Strike Witches 2","TV","Finalizado","12","10376"
"275","Brave Witches: Petersburg Daisenryaku","OVA","Finalizado","1","8159"
"276","Brave Witches","TV","Finalizado","12","9037"
"277","Strike Witches","TV","Finalizado","12","14818"
"278","Strike Witches OVA","OVA","Finalizado","1","9257"
"279","BEM: Become Human","Pelicula","Finalizado","1","23403"
"280","Rewrite 2nd Season","TV","Finalizado","11","16816"
"281","Rewrite","TV","Finalizado","13","23689"
"282","Shingeki no Bahamut: Genesis","TV","Finalizado","12","21461"
"283","Shingeki no Bahamut: Virgin Soul","TV","Finalizado","24","22252"
"284","Dogeza de Tanondemita","TV","Finalizado","12","74621"
"285","Maesetsu!","TV","Finalizado","12","16400"
"286","Tsukiuta. The Animation 2","TV","Finalizado","13","10572"
"287","Guraburu!","TV","Finalizado","12","18211"
"288","Toji no Miko: Kizamishi Issen no Tomoshibi","OVA","Finalizado","2","29171"
"289","D4DJ First Mix","TV","Finalizado","13","24337"
"290","Magatsu Wahrheit: Zuerst","TV","Finalizado","12","58915"
"291","Ochikobore Fruit Tart","TV","Finalizado","12","26266"
"292","Osomatsu-san 3rd Season","TV","Finalizado","25","17210"
"293","Gochuumon wa Usagi Desu ka? BLOOM","TV","Finalizado","12","20851"
"294","Taiso Samurai","TV","Finalizado","11","20889"
